idVuelo,idAvion,idPiloto,fecha,destino,cantPasajeros,horaDespegue,horaLlegada2,1,1,28/11/2019,Honduras,80,17,19
94,1,1,26/11/2019,Alemania,52,13,20
18,1,1,26/11/2019,China,96,13,23
65,1,1,26/11/2019,Portugal,54,17,18
25,1,1,28/11/2019,Colombia,65,16,21
73,1,1,27/11/2019,Alemania,76,15,18
23,1,1,28/11/2019,Uruguay,72,17,22
54,1,1,28/11/2019,Irlanda,81,13,22
53,1,1,27/11/2019,Francia,90,16,22
51,1,1,28/11/2019,Francia,79,15,20
36,1,1,27/11/2019,Colombia,74,16,23
19,1,1,26/11/2019,Alemania,99,14,22
67,1,1,28/11/2019,China,99,15,18
11,1,1,26/11/2019,Portugal,100,17,21
64,1,1,26/11/2019,Uruguay,52,13,19
37,1,1,28/11/2019,Irlanda,53,16,18
90,1,1,27/11/2019,Chile,94,14,22
